文件名	BPM
-427149_1_1_1.mp3	107.67
9-274585_1_1_1.mp3	100.45
afro-dance-beat-120bpm-329905_1_1_1_1.mp3	119.68
christmas-time-12-270471_1_1_1_1.mp3	103.36
classic-rock-guitar-riff-245192_1_1.mp3	108.17
dynamic-groove-266795_1_1.mp3	104.17
electric-vibes-274594_1_1_1.mp3	112.50
epic-cinematic-background-music-434442_1_1_1_1.mp3	105.47
glow-rhythm-274592_1_1_1.mp3	104.17
glow-rhythm-274592_2_1.mp3	104.17
jazz-drums-solo-120-bpm-204483_1_1_1_1.mp3	119.68
mirage-120bpm-3837_1_1_1_1.mp3	119.68
mystic-sound-mix-trance-pad-7-at-100bmp-drums-183751_1_1_1_1.mp3	100.45
neon-pop-groove-250264_1_1_1.mp3	104.17
object-of-power120bpmfm-12298_1_1_1_1.mp3	119.68
pop-dance-beat-250256_1_1.mp3	108.17
pop-horizon-272214_1_1.mp3	100.45
pop-wave-groove-254687_1_1_1.mp3	104.17
pulse-pop-mix-269931_1_1.mp3	104.17
rhythmic-pop-267328_1_1_1.mp3	117.19
star-popper-274583_1_1.mp3	100.45
sugar-pop-266800 (1)_1_1.mp3	104.17
sugar-pop-266800_1_1.mp3	104.17
tune-twinkle-241947_1_1.mp3	104.17
vintage-rock-drums-120-bpm-204717_1_1_1_1.mp3	119.68
west-coast-trap-beat-434659_1_1_1_1.mp3	101.33
